// Gerado por `qualis coletar-eventos`. Edite à mão se precisar:
// linhas iniciadas por // são ignoradas, e a coluna h5 vence.
// h5_fonte=scholar é o dado que o Documento de Área manda usar;
// h5_fonte=sbc-2024 é a coluna da planilha da SBC, que está
// desatualizada e serve só como referência.
// ambiguo=1: o Scholar tem mais de uma entrada para o evento,
// com h5 diferentes; ficamos com o maior. Confira esses casos.
// anos_tradicao fica vazio: não há fonte verificável em massa.
sigla,nome,h5,ce_sbc,anos_tradicao,segue_gt_capes,h5_fonte,h5_sbc,ambiguo,ces,entradas_scholar
AlCoB,International Conference on Algorithms for Computational Biology,,top20,,1,nenhum,,0,CE-BioComp,
ALENEX,SIAM Symposium on Algorithm Engineering and Experiments,,relevante,,1,nenhum,,0,CE-ACO,
ALIO/EURO,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,,relevante,,1,nenhum,,0,CE-ACO,
ALLERTON,"Allerton Conference on Communication, Control, and Computing",11,relevante,,1,scholar,28,1,CE-RESD,"Allerton Conference on Communication, Control, and Computing (h5=11) || International Conference on Control, Communication and Computing (h5=7)"
AMCIS,Americas Conference on Information Systems,52,top10,,1,scholar,29,1,CE-SI,Information Systems (h5=52) || Americas Conference on Information Systems (AMCIS) (h5=29)
AMD,Workshop on Analysis of Movement Data,,relevante,,1,nenhum,,0,CE-Geoinformática,
AMIA,AMIA Symposium,31,top10,,1,scholar,30,1,CE-CAS,AMIA Symposium (h5=31) || AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science (h5=24)
AMW,Alberto Mendelzon International Workshop on Foundations of Data Management,,relevante,,1,nenhum,10,0,CE-BD,
ANALCO,Workshop on Analytic Algorithmics and Combinatorics,,relevante,,1,nenhum,,0,CE-ACO,
ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,,relevante,,1,nenhum,,0,CE-RESD,
ANPPOM,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,4,top20,,1,scholar,,0,CE-CM,Congresso da ANPPOM (h5=4)
